The Raconteurs  Steady, As She Goes
Red Hot Chili Peppers  Goodbye Angels
The Strokes  Someday
Tom Grennan  Something Better
Arctic Monkeys  Leave Before The Lights Come On
Шоколадный Торт  Питерский рассвет
The Smiths  Last Night I Dreamt That Somebody Loved Me - 2011 Remaster
Kaiser Chiefs  Wait
Muse  Pressure
Barry Manilow  Copacabana (At the Copa) - Long Version
Panic! At The Disco  One of the Drunks
The Strokes  Reptilia
Arctic Monkeys  Baby I'm Yours
The Reytons  Broke Boys Cartel
Dr. Lonnie Smith Iggy Pop  Sunshine Superman
The Sails  Bang!
Dinosaur Jr.  I Ran Away
Tame Impala  The Less I Know The Better
The Strokes  Ode To The Mets
The Jaded Hearts Club Nic Cester  This Love Starved Heart of Mine (It's Killing Me)
Girls Aloud  The Promise
The Real Thing  You To Me Are Everything
The Struts Robbie Williams  Strange Days (with Robbie Williams)
Kaiser Chiefs  Ruby
Scorpions  Catch Your Train
Scorpions  Pictured Life
Scorpions  Restless Nights
The Last Shadow Puppets Alex Turner Miles Kane  Standing Next To Me
The Struts  Could Have Been Me
The Last Shadow Puppets Alex Turner Miles Kane  Miracle Aligner
The Strokes  Bad Decisions
Kaiser Chiefs  The Angry Mob
Cage The Elephant  Cigarette Daydreams
Cage The Elephant  Too Late To Say Goodbye
Waterparks  Stupid for You
blink-182  All The Small Things
Lumen  Sid & Nancy
Avril Lavigne  Complicated
YUNGBLUD  cotton candy
Jonas Brothers  When You Look Me In The Eyes
Miley Cyrus  Wrecking Ball
Ella Henderson  Yours
Avril Lavigne  Here's to Never Growing Up
Lana Del Rey  Summertime Sadness
Miley Cyrus  Plastic Hearts
Miley Cyrus  Midnight Sky
Avril Lavigne  When You're Gone
Mini Mansions  Forgot Your Name
Franz Ferdinand  Take Me Out
Shawn Mendes Camila Cabello  Se?orita
